complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 457/23,04/07/2023,29/10/2023,online form,citizen,,failure to respond,משרד הבריאות,failure to respond לבקשה סמוכין 378524 04.07.23 ,termination of treatment,unjustified,14/12/2023,46
 77/24,15/02/2024,06/03/2024,online form,citizen,,failure to respond,משרד המשפטים,שמאי מכריע,termination of treatment,unjustified,13/03/2024,7
 50/24,22/01/2024,07/02/2024,online form,citizen,,failure to respond,הרשות לאכיפה במקרקעין - משרד האוצר,מדיע בנוגע להפעלת סמכות מקבילה,termination of treatment,unjustified,27/03/2024,49
 308/22,27/06/2022,25/07/2022,online form,citizen,,failure to respond,משרד הבריאות,פניה מתאריך ה- 27.06.2022 - failure to respond,termination of treatment,unjustified,28/07/2022,3
 243/24,12/03/2024,09/07/2024,online form,citizen,,failure to respond,משרד הבינוי והשיכון,תמהיל דירות פרויקט 1572 בתוכנית מחיר למשתכן ,termination of treatment,justified,30/07/2024,21
 432/22,17/07/2022,15/11/2022,online form,citizen,,failure to respond,משרד הבריאות,אי מתן מתן לקבלת תקנות ,termination of treatment,justified,20/04/2023,156
 393/24,04/10/2024,11/11/2024,online form,citizen,,lack of reasoning,המשרד להגנת הסביבה,חוק הפחמן,undergoing treatment,,,17
 115/22,25/01/2022,22/03/2022,online form,citizen,,failure to respond,משרד הבריאות,פנייה לנציב קבילות הרופאים,termination of treatment,unjustified,09/05/2022,48
 132/22,23/02/2022,27/03/2022,online form,citizen,,failure to respond,"צהל""",נתונים על דין משמעתי,termination of treatment,justified,30/05/2022,64
9/24,05/09/2023,07/01/2024,online form,non-profit organization,מרכז טאוב לחקר המדיניות החברתית בישראל,failure to respond,משרד הבריאות,אשפוז עקב חשיפה לחום,termination of treatment,justified,13/03/2024,66
 16/22,07/11/2021,17/01/2022,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד הביטחון,ניסויים בבעלי חיים במשרד הביטחון,termination of treatment,justified,21/02/2022,35
 237/22,13/12/2021,02/06/2022,online form,other,,failure to respond,משרד הבריאות,"החלטות וועדות, מידע אודות המבקש ומידע סטטיסטי",termination of treatment,justified,01/08/2022,60
 252/23,07/05/2023,28/06/2023,online form,citizen,,failure to respond,משרד המשפטים,failure to respond לבקשה 07.05.23 סמוכין 370052 ,termination of treatment,unjustified,09/11/2023,134
 71/22,26/12/2021,22/02/2022,online form,company,,failure to respond,משרד העבודה,אמל שבלי,termination of treatment,justified,26/05/2022,93
 245/23,04/04/2023,25/06/2023,online form,other,,failure to respond,"צהל""",חלוקת מכסות בענף התעשייה והשירותים,termination of treatment,justified,10/07/2023,15
 297/23,20/04/2023,27/07/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""",שינוי סיווג מערכי נגדים במהלך חופשת הפסח 2023,termination of treatment,justified,21/09/2023,56
 24/23,06/11/2022,19/01/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,failure to respond על נתונים שנתבקשו בבקשת חופש מידע ,termination of treatment,justified,19/02/2023,31
 440/23,18/09/2022,25/10/2023,online form,citizen,,failure to respond,משרד הבריאות,בקשה למידע במסגרת חוק חופש המידע,termination of treatment,justified,18/01/2024,86
 274/24,17/02/2024,24/07/2024,online form,citizen,,failure to respond,משרד הבריאות,תרומות למחקרים קליניים,termination of treatment,justified,04/09/2024,42
 136/24,10/08/2023,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 408/24,10/09/2024,26/11/2024,online form,non-profit organization,תחרות - התנועה לחירות בתעסוקה,failure to respond,משרד החינוך,מידע על תקציבים ועל ארגוני המורים,undergoing treatment,,,2
 141/24,19/04/2022,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 418/22,27/10/2022,28/10/2022,online form,citizen,,failure to respond,משרד החינוך,תלונה נגד רכזת האגף במשרד החינוך אילנית שושני,termination of treatment,justified,30/03/2023,154
 385/23,01/06/2023,27/08/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""","חוזה מול מועדון הלקוחות יותר""""",termination of treatment,justified,19/03/2024,205
 469/23,24/05/2023,12/11/2023,online form,citizen,,failure to respond,משרד הבריאות,"בקשה לקבלת מידע בעניין דר אשר שלמון""",termination of treatment,justified,22/01/2024,71
 113/22,15/02/2022,22/03/2022,online form,citizen,,failure to respond,משרד ראש הממשלה,"ועדת האיתור לתפקיד מנהל לפמ""",termination of treatment,justified,27/04/2022,36
 279/23,08/03/2022,19/07/2023,online form,citizen,,failure to respond,משרד התיירות,כרם שיזף,termination of treatment,justified,07/03/2024,232
 386/22,03/08/2022,20/09/2022,online form,company,,failure to respond,משרד העבודה,צווים שהוטלו על ידי המפחק סימיון,termination of treatment,justified,03/05/2023,225
 281/22,26/02/2022,28/06/2022,online form,citizen,,failure to respond,משרד הבריאות,הקלטת שיחה אשר ביצעתי עם המשרד,termination of treatment,justified,11/08/2022,44
 22/24,22/11/2023,23/01/2024,online form,citizen,,failure to respond,משרד הבינוי והשיכון,קביעת שכר דירה,termination of treatment,unjustified,05/02/2024,14
 81/24,05/11/2023,08/03/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond סמוכין 394563 מתאריך 05.11.23 ,termination of treatment,unjustified,13/03/2024,5
 107/24,28/02/2024,04/04/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,דוח תיקופים קו 681,termination of treatment,justified,20/06/2024,77
 416/23,30/07/2023,12/09/2023,online form,citizen,,failure to respond,משרד התיירות,מסמכי יכולת פיננסית,termination of treatment,justified,29/02/2024,170
 609/21,08/04/2021,12/12/2021,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,מנהל citizenי אזור יהודה ושומרון,היתרי כניסה לישראל לצורכי עבודה ומניעות כניסת תושב,termination of treatment,justified,26/05/2022,165
 182/24,11/03/2024,22/05/2024,online form,citizen,,failure to respond,משרד החינוך,שימוש בפיקדון צבאי,termination of treatment,justified,29/05/2024,8
 116/22,29/12/2021,22/03/2022,online form,non-profit organization,פורום דו קיום בנגב לשוויון אזרחי,failure to respond,המשרד לביטחון לאומי,"מידע על הריסות בתים, פינויים וחריש בנגב לשנת 2021",termination of treatment,justified,29/03/2022,7
 371/22,02/08/2022,04/09/2022,online form,citizen,,failure to respond,משרד החינוך,עיון בתיק אישי - בית הספר שלנו תל מונד,termination of treatment,justified,18/12/2022,105
 423/23,29/01/2023,26/09/2023,online form,citizen,,failure to respond,משרד הביטחון,מענים חלקיים בלבד לשתי בקשות מידע,termination of treatment,justified partially,13/12/2023,78
 124/24,07/08/2023,17/04/2024,online form,non-profit organization,האגודה לזכויות האזרח בישראל,failure to respond,משרד המשפטים,"פילוח תלונות מחש""",termination of treatment,justified,02/05/2024,15
 125/24,19/12/2023,17/04/2024,online form,non-profit organization,הפורום לתזונה בת קיימא,failure to respond,משרד הבריאות,השלכות מס הסוכר,termination of treatment,unjustified,18/09/2024,154
 60/24,25/01/2024,16/02/2024,online form,citizen,,failure to respond,משרד החינוך,סמכות ועדה פריטטית בנושא התמריצים למורים ,termination of treatment,unjustified,02/05/2024,76
 198/22,06/01/2022,09/05/2022,online form,citizen,,failure to respond,"צהל""","חכירת רכבים מצהל""",termination of treatment,justified,02/08/2022,85
2/23,05/09/2022,01/01/2023,online form,citizen,,failure to respond,"צהל""",מתן מענה לא ענייני וחלקי ביותר,termination of treatment,unjustified,04/01/2023,3
 47/23,25/11/2022,08/02/2023,online form,citizen,,failure to respond,רשות מקרקעי ישראל,קבלת מידע,termination of treatment,justified,31/05/2023,112
 444/22,08/05/2022,23/11/2022,online form,non-profit organization,הפורום לישראל ירוקה,failure to respond,המשרד להגנת הסביבה,מפעלי תעשייה כבידה בישראל,termination of treatment,justified,24/05/2023,182
 314/22,20/06/2022,28/07/2022,online form,citizen,,failure to respond,רשות המסים בישראל,החזר כספים בגין הפקדות כספי מעסיק מקופות שונות,termination of treatment,unjustified,07/08/2022,10
 325/24,14/08/2024,16/09/2024,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,תכנית כיבוי אש פרויקט דניה סיבוס,termination of treatment,justified,10/10/2024,24
 463/23,31/05/2023,05/11/2023,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,failure to respond סמוכין 373500 תאריך 31.05.23 ,termination of treatment,unjustified,14/12/2023,39
 367/23,16/07/2023,24/08/2023,online form,citizen,,failure to respond,מינהל התכנון,בקשות ותכניות,termination of treatment,unjustified,04/09/2023,11
 68/23,18/12/2022,26/02/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""",פרסום כתבות נגד משרתי ופורשי צבא הקבע,termination of treatment,justified,08/06/2023,102
 413/22,16/06/2022,23/10/2022,online form,non-profit organization,ניצנים,failure to respond,"צהל""",failure to respond לבקשת מידע ,termination of treatment,justified,03/05/2023,192
 25/23,11/12/2022,19/01/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,failure to respond לבקשת חופש מידע מיום 11.12.22 ,termination of treatment,justified,15/02/2023,27
 219/22,16/02/2022,19/05/2022,online form,citizen,,failure to respond,רשות המים והביוב,מידע על כמויות מים והיכן נצרכו,termination of treatment,unjustified,16/06/2022,29
 117/24,06/12/2023,11/04/2024,online form,citizen,,failure to respond,משרד הבריאות,מסמכים  שונים,termination of treatment,justified,05/06/2024,55
 347/22,01/11/2021,21/08/2022,online form,citizen,,failure to respond,משרד התקשורת,בקשה הנוגעת לחווד אודות פטריק דרהי,termination of treatment,justified,14/09/2022,24
 223/22,27/02/2022,23/05/2022,online form,citizen,,failure to respond,משרד התיירות,"אי כיבוד הבקשה, גרירת רגליים ופעולה ללא סמכות",termination of treatment,unjustified,25/05/2022,3
 245/22,25/02/2022,06/06/2022,online form,citizen,,failure to respond,"צהל""","מכות חום, חשיפה לקרינה וכמות בשר",termination of treatment,justified,11/08/2022,66
 239/22,28/03/2022,02/06/2022,online form,non-profit organization,לביא,failure to respond,"צהל""",צווי הרחקה מנהליים,termination of treatment,justified,01/08/2022,60
 485/22,08/11/2022,20/12/2022,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,אי התייחסות לבקשה.,termination of treatment,unjustified,28/12/2022,8
 54/22,11/01/2022,12/02/2022,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,חופש המידע בתי דין רבניים מקומות מושב דיינים,termination of treatment,justified,28/04/2022,75
 175/22,13/03/2022,25/04/2022,online form,citizen,,failure to respond,משרד החינוך,מסמך הנחיות של יועץ הבטיחות מטעם משרד החינוך,termination of treatment,justified,28/04/2022,3
 222/24,14/03/2024,25/06/2024,online form,non-profit organization,המרכז להעצמת האזרח,failure to respond,משרד הביטחון,מוניטור 1226 ו-3741,termination of treatment,justified,30/07/2024,35
 318/24,09/05/2024,09/09/2024,online form,non-profit organization,העמותה הקהילתית גבעת מרדכי,failure to respond,משרד הבריאות,אכיפה וקנסות - אי דיווח תרומות,termination of treatment,justified,28/10/2024,49
 481/22,04/07/2022,15/12/2022,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,משרד המשפטים,"פילוח נתוני מחש""",termination of treatment,justified,22/12/2022,7
 52/22,06/02/2021,10/02/2022,online form,citizen,,failure to respond,משרד הפנים,"כתבי מינוי נוספים של עוד בנימין זלמנוביץ""",termination of treatment,unjustified,29/03/2022,47
 206/23,14/04/2023,28/05/2023,online form,citizen,,failure to respond,משרד האוצר,failure to respond בקשת 14.04.23 סמוכין 366866 ,termination of treatment,unjustified,12/07/2023,45
 107/23,05/01/2023,10/03/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""","נתונים אודות בקשות חופש מידע המוגשות לצהל""",termination of treatment,justified,29/03/2023,19
 90/22,08/01/2022,07/03/2022,online form,citizen,,failure to respond,משרד הבריאות,פירוט חלוקת תמיכות,termination of treatment,justified partially,12/04/2022,36
1/24,10/09/2023,01/01/2024,online form,company,,failure to respond,משרד העבודה,דוחות הדרכות בטיחות,termination of treatment,justified,04/01/2024,3
 291/24,15/05/2024,14/08/2024,online form,non-profit organization,תורת המדינה,failure to respond,משרד המשפטים,"חופש מידע מפרקליטות מחוז תא ומרכז """,termination of treatment,justified,22/08/2024,9
 324/24,26/07/2024,15/09/2024,online form,citizen,,lack of reasoning,משרד הבינוי והשיכון,ביקשתי נוהל וקיבלתי תשובה מתחמקת אך לא הנוהל,termination of treatment,unjustified,16/09/2024,1
 461/22,01/08/2022,30/11/2022,online form,non-profit organization,עמותת עמרם,failure to respond,משרד הבריאות,מינויה של פרופ' שורץ לבחון חומר בנושא פרשת ילדי תימן,termination of treatment,justified,20/04/2023,141
 202/24,16/03/2024,11/06/2024,online form,citizen,,failure to respond,משרד הבריאות,"נוהל קריטריונים הקמת ועדת בדיקה רשמית, רשלנות רפואית",termination of treatment,justified,30/07/2024,49
 26/24,25/01/2024,25/01/2024,online form,non-profit organization,"מרכז רקמן, אוניברסיטת בר אילן",failure to respond,משרד המשפטים,מידע לשנתון סטטיסטי,termination of treatment,unjustified,08/02/2024,14
 352/22,31/05/2022,22/08/2022,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",מדיניות גיוס בני ישיבות ציונית,termination of treatment,justified,26/01/2023,157
 262/24,10/05/2023,15/07/2024,online form,other,,failure to respond,משרד הבריאות,אנטיביוטיקה מסוג CEFTRIAXONE,termination of treatment,justified,21/08/2024,37
 421/23,24/05/2023,26/09/2023,online form,non-profit organization,התנועה לחופש המידע,failure to respond,משרד המשפטים,"תלונות למחש""",termination of treatment,justified partially,06/12/2023,71
 136/23,15/12/2022,02/04/2023,online form,non-profit organization,החברה להגנת הטבע,failure to respond,משרד החקלאות ופיתוח הכפר,רישיונות או היתרים לדיג חריג,termination of treatment,justified,10/07/2023,99
 362/24,30/06/2024,15/10/2024,online form,other,,failure to respond,הרשות הארצית לכבאות והצלה,דוח חקירת אירוע שריפה,termination of treatment,justified,28/10/2024,13
 388/23,18/05/2023,29/08/2023,online form,citizen,,failure to respond,משרד החינוך,תקנות זכויות התלמיד,termination of treatment,justified,21/09/2023,23
 119/23,07/02/2023,16/03/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,נתונים לגבי מחסור בעובדי הוראה,termination of treatment,justified,07/06/2023,83
 305/23,06/03/2023,01/08/2023,online form,citizen,,failure to respond,משרד הבריאות,הועדה לשינוי מין,termination of treatment,justified,01/01/2024,153
 438/22,03/10/2022,20/11/2022,online form,citizen,,failure to respond,משרד החינוך,בקשת חופש מידע,termination of treatment,justified,24/05/2023,185
2/24,24/05/2023,01/01/2024,online form,other,,failure to respond,משרד הבריאות,מכונות אקמו,termination of treatment,justified,29/02/2024,59
 228/23,28/03/2023,15/06/2023,online form,citizen,,failure to respond,משרד התקשורת,רשימת בתי מלון,termination of treatment,justified,27/06/2023,12
 162/24,24/11/2023,13/05/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond ! במועד ! סמוכין 396840 תאריך 24.11.23,termination of treatment,unjustified,13/05/2024,0
 353/24,17/06/2024,09/10/2024,online form,citizen,,failure to respond,משרד ראש הממשלה,"יועצים חיצוניים ועובדי המדינה לרוהמ שהושכרו ע""י המשרד בחודשים אוקטובר 2023 עד מאי 2024""",termination of treatment,justified,07/11/2024,29
 185/23,06/02/2023,11/05/2023,online form,citizen,,lack of reasoning,רשות האכיפה והגבייה,נתונים מהוצאה לפועל והמרכז לגביית קנסות,termination of treatment,justified,08/11/2023,181
 137/24,10/07/2023,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 174/22,08/02/2022,25/04/2022,online form,citizen,,failure to respond,משרד החינוך,"דוח ביקורת כספית בישיבה תיכונית גבעת שמואל""",termination of treatment,unjustified,13/06/2022,49
 310/22,17/05/2022,26/07/2022,online form,citizen,,failure to respond,משרד הבריאות,בקשת חוק חופש המידע,termination of treatment,unjustified,28/07/2022,2
 42/22,24/11/2021,03/02/2022,online form,citizen,,failure to respond,"צהל""",נתונים על משרתות מילואים,termination of treatment,justified,26/05/2022,112
 268/22,10/03/2022,16/06/2022,online form,citizen,,failure to respond,משרד הבריאות,"אישור ו/או קבלת רישיון מוסד מכורים לחיים""""",termination of treatment,justified,12/07/2022,26
 46/24,03/12/2023,02/02/2024,online form,citizen,,failure to respond,משרד הבריאות,failure to respond ! במועד ! סמוכין 397777 03.12.23 ,termination of treatment,unjustified,29/02/2024,27
 184/23,04/02/2023,11/05/2023,online form,citizen,,lack of reasoning,משרד המשפטים,פרוטוקולים לשכת היועמש,termination of treatment,unjustified,11/05/2023,0
9/23,23/08/2022,08/01/2023,online form,citizen,,failure to respond,משרד הבריאות,אי מענה לקבלת תקנות ,termination of treatment,justified,05/03/2023,56
 392/23,27/06/2023,01/09/2023,online form,citizen,,lack of reasoning,מרכז רפואי שיבא,נורות פוטותרפיה,termination of treatment,justified,10/01/2024,131
 239/24,28/05/2024,08/07/2024,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,"בקשה לדוח כיבוי חוקר דליקות על שריפה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה""",termination of treatment,justified,06/08/2024,29
6/24,03/12/2023,05/01/2024,online form,citizen,,failure to respond,משרד ראש הממשלה,failure to respond לבקשת מידע סמוכין 397772 03.12.23 ,termination of treatment,unjustified,29/01/2024,25
 39/22,05/09/2021,31/01/2022,online form,non-profit organization,כושרות,failure to respond,משרד הבריאות,מערך הפיקוח על המזון ,termination of treatment,justified,28/03/2022,56
 420/23,16/07/2023,26/09/2023,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד החקלאות ופיתוח הכפר,ביקורות בחזיריות,termination of treatment,justified,06/11/2023,41
 429/22,13/04/2022,13/11/2022,online form,citizen,,failure to respond,משרד העבודה,שיתוף פעולה בין מנהל הבטיחות בזרוע ויחידת פלס,termination of treatment,justified,03/05/2023,171
 269/24,18/05/2024,17/07/2024,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,פרוטוקולים שונים,termination of treatment,unjustified,08/10/2024,84
 53/24,22/09/2023,11/02/2024,online form,citizen,,failure to respond,משרד הבריאות,"מספר בוגרים ישראלים מחול""",termination of treatment,justified,04/04/2024,53
 354/22,28/10/2021,22/08/2022,online form,citizen,,failure to respond,משטרת ישראל,השלמת נתונים - יוצאי אתיופיה,termination of treatment,unjustified,08/09/2022,17
 311/22,31/01/2022,27/07/2022,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות בגדה המערבית,termination of treatment,justified,18/08/2022,22
 636/21,19/08/2021,27/12/2021,online form,citizen,,failure to respond,משרד הבריאות,שאלות לגבי בידוד נגיף הקורונה,termination of treatment,justified,28/03/2022,91
 26/23,22/11/2022,22/01/2023,online form,citizen,,lack of reasoning,משרד הבינוי והשיכון,בקשה לקבלת אסמכתאות להעברת כספים,termination of treatment,justified,25/04/2023,94
 28/24,20/07/2023,27/01/2024,online form,citizen,,failure to respond,משרד החינוך,הפעלת סמכותו של מנהל המחוז,termination of treatment,justified,11/04/2024,75
 108/23,21/11/2022,12/03/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",הליכי גיוס לבעלי קושי נפשי,termination of treatment,justified,20/06/2023,100
 340/22,26/01/2022,15/08/2022,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,העתק ממסמכי מכרז,termination of treatment,justified,26/01/2023,164
 395/22,11/05/2022,22/09/2022,online form,citizen,,failure to respond,משרד הבריאות,קבלת מידע בנושא תאי לחץ גבוה ומתון,termination of treatment,justified,18/01/2023,119
5/24,24/08/2023,04/01/2024,online form,non-profit organization,איחוד הישיבות בארי,lack of reasoning,רשות האוכלוסין וההגירה,העתק ממרשם האוכלוסין,termination of treatment,justified,25/01/2024,21
 63/24,14/11/2022,20/02/2024,online form,non-profit organization,מדעת - למען בריאות מושכלת,failure to respond,משרד הבריאות,כיסוי חיסוני בישראל ומדיניות הסברה,termination of treatment,justified,18/04/2024,58
 242/24,01/05/2024,09/07/2024,online form,citizen,,failure to respond,משרד התיירות,נהלי משרד התיירות,termination of treatment,unjustified,19/08/2024,41
 261/24,10/04/2024,15/07/2024,online form,other,,failure to respond,משרד הבריאות,משלוח מזון מבית עסק לבית הצרכן,termination of treatment,justified,21/08/2024,37
 303/24,14/04/2024,27/08/2024,online form,non-profit organization,העמותה הקהילתית גבעת מרדכי,failure to respond,משרד הבריאות,התפרצויות חצבת בעולם,termination of treatment,justified,06/10/2024,40
 129/23,28/02/2023,28/03/2023,online form,citizen,,failure to respond,משרד הבריאות,failure to respond לבקשתי לרשומות מהפסיכיאטר המחוזי מרכז,termination of treatment,justified,07/06/2023,71
 426/23,29/07/2023,03/10/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",החלטת ממשלה 682,termination of treatment,justified,15/04/2024,195
 288/22,24/04/2022,04/07/2022,online form,citizen,,lack of reasoning,משרד הבינוי והשיכון,הטלת קנסות על החברות המשכנות ותלונות הציבור,termination of treatment,unjustified,10/08/2022,37
 249/22,24/02/2022,08/06/2022,online form,non-profit organization,לביא,failure to respond,שירות בתי הסוהר,נתוני אסירים בטחוניים 2021,termination of treatment,justified,23/08/2022,76
 274/23,22/11/2022,14/07/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,המשרד להגנת הסביבה,תשלום למודיע על השלכת פסלת שלא כדין,termination of treatment,justified,01/08/2023,18
 304/24,15/07/2024,28/08/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,פרוטוקול תחבורה ציבורית ,termination of treatment,unjustified,02/09/2024,5
 269/22,24/04/2022,16/06/2022,online form,citizen,,lack of reasoning,משרד הרווחה והשירותים החברתיים,מידע אודות הוסטל נחלים ברכסים,termination of treatment,unjustified,09/04/2024,663
 227/23,09/04/2023,15/06/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",בני מהגרים בלימודים,termination of treatment,justified,08/01/2024,207
 197/22,06/01/2022,09/05/2022,online form,citizen,,failure to respond,"צהל""","תנאי הזכאות לקבלת גמול השתלמות (גמוש) לקצינים בשירות קבע""",termination of treatment,justified,02/08/2022,85
 257/22,09/02/2022,14/06/2022,online form,citizen,,failure to respond,המשרד להגנת הסביבה,בקשה לקבלת סקרי קרקע בתחנת דלק,termination of treatment,justified,11/09/2022,89
 320/23,03/04/2023,10/08/2023,online form,citizen,,failure to respond,משטרת ישראל,קבלת מידע מה עלה ,termination of treatment,unjustified,24/08/2023,14
 101/24,26/02/2024,28/03/2024,online form,citizen,,failure to respond,משרד המשפטים,כתבי אישום בחתך דת,termination of treatment,unjustified,03/04/2024,6
 271/22,01/12/2021,19/06/2022,online form,company,,failure to respond,משרד הבריאות,"החלטות ונהלים בנושא שינוי בשבן""",termination of treatment,justified,11/09/2022,84
 418/23,20/08/2023,21/09/2023,online form,citizen,,failure to respond,משרד החינוך,תנאי עבודה,termination of treatment,unjustified,14/12/2023,84
 428/22,10/09/2022,13/11/2022,online form,citizen,,lack of reasoning,משרד הפנים,חיוב אגרת שמירה בניגוד לתקנון וגם ביח' משנה,termination of treatment,unjustified,22/12/2022,39
 102/22,13/12/2021,13/03/2022,online form,citizen,,failure to respond,משרד החינוך,כתובת המוסד בית התלמוד שערי תורה,termination of treatment,unjustified,11/04/2022,29
 232/22,28/03/2022,30/05/2022,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,נהלי פטורים טוענים רבניים,termination of treatment,justified,18/07/2022,49
 209/23,03/01/2023,30/05/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משרד המשפטים,"נהלים ומדיניות- פמי""",termination of treatment,justified,12/07/2023,43
 314/24,25/07/2024,05/09/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,בקשת מידע אישי,termination of treatment,unjustified,23/09/2024,19
 260/24,16/02/2024,15/07/2024,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,"צהל""","פילוח הפיקוד הבכיר בצהל לפי חינוך""",termination of treatment,justified,11/08/2024,27
 183/22,26/04/2022,26/04/2022,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,עובד ודיינים שהושהו בסוף 2016,termination of treatment,unjustified,26/05/2022,30
 238/22,19/01/2022,02/06/2022,online form,non-profit organization,לביא,failure to respond,"צהל""","ענישה במקרי עבירות בטחון בבימש הצבאיים באיו""ש""",termination of treatment,justified,04/08/2022,63
 357/24,04/08/2024,14/10/2024,online form,citizen,,failure to respond,משרד המשפטים,"אישור היועמש למתן אישורים בדיעבד""",termination of treatment,unjustified,12/11/2024,30
 414/22,10/05/2022,23/10/2022,online form,citizen,,failure to respond,משרד הבריאות,לידות שקטות והפלות,termination of treatment,justified,04/05/2023,193
 59/24,14/02/2024,14/02/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תחבורה ציבורית,termination of treatment,justified,06/05/2024,82
11/23,22/11/2022,10/01/2023,online form,citizen,,failure to respond,משרד הכלכלה,אי קבלת מענה רשמי ,termination of treatment,unjustified,11/01/2023,1
 66/24,18/04/2023,25/02/2024,online form,other,,failure to respond,משרד הבריאות,מכשיר INVOS,termination of treatment,justified,02/05/2024,67
 273/22,17/05/2022,20/06/2022,online form,citizen,,failure to respond,משרד המשפטים,שומת מקרקעין בגוש 7079 חלקה 12,termination of treatment,unjustified,27/06/2022,7
 121/24,06/08/2023,15/04/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond !במועד! סמוכין 383730 תאריך 06.08.23 ,termination of treatment,unjustified,17/04/2024,2
 289/24,29/07/2023,09/08/2024,online form,citizen,,failure to respond,משרד המשפטים,חקירות אישי ציבור,termination of treatment,justified,18/09/2024,40
 40/22,26/12/2021,01/02/2022,online form,company,,failure to respond,משרד העבודה,צווי בטיחות חברת ארקאן,termination of treatment,justified,26/05/2022,114
 238/24,25/03/2024,08/07/2024,online form,citizen,,failure to respond,משרד התקשורת,מדידות כיסוי סלולרי בכביש 31,termination of treatment,justified,22/07/2024,14
 265/22,25/11/2021,16/06/2022,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,מיפוי מספר מסגרות ייעודיות ותלמידים עם אוטיזם,termination of treatment,justified,26/01/2023,225
 249/24,22/02/2024,14/07/2024,online form,citizen,,failure to respond,משרד הבריאות,דיווח תרומות למשרד הבריאות,termination of treatment,justified,21/08/2024,38
 301/24,10/04/2024,20/08/2024,online form,other,,failure to respond,משרד החקלאות ופיתוח הכפר,חיות משק במלחמת 'חרבות ברזל',termination of treatment,justified,15/10/2024,56
 38/23,06/01/2023,07/02/2023,online form,non-profit organization,מגן ביטחון,failure to respond,משרד האוצר,"פעילות משרד האוצר בתקשורת ביחס לשכר, תנאים",termination of treatment,unjustified,08/06/2023,121
 632/21,02/09/2021,24/12/2021,online form,citizen,,failure to respond,משרד הבריאות,שכר רבנים שכר ממונה חשיפה,termination of treatment,unjustified,14/02/2022,52
 173/22,24/03/2022,23/04/2022,online form,citizen,,failure to respond,משטרת ישראל,פנייה 99072,termination of treatment,unjustified,04/05/2022,11
12/23,06/12/2022,10/01/2023,online form,citizen,,failure to respond,משרד הכלכלה,"מתן חסות עובד ציבור על ידי מנכל משרד הכלכלה """,termination of treatment,unjustified,20/02/2023,41
 75/24,14/09/2023,05/03/2024,online form,citizen,,failure to respond,משרד המשפטים,ארגונים מאושרים על ידי שר המשפטים,termination of treatment,justified,13/03/2024,8
