"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 140/23","18/12/2022","03/04/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","פגישות נציגי צה"ל עם נציגי משרד האוצר בנושא תקנות ","סיום טיפול","מוצדק","10/07/2023","98",
" 248/22","07/02/2022","08/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הוספת סטודנטים לרפואה","סיום טיפול","מוצדק","01/08/2022","55",
" 441/23","01/03/2023","27/10/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","אי מתן מענה סמוכין 361890 מתאריך 01.03.23 ","סיום טיפול","בלתי מוצדק","14/12/2023","48",
" 399/22","28/08/2022","02/10/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","נהלי טראנסג'נדרים ","סיום טיפול","מוצדק","20/04/2023","200",
" 256/24","09/06/2024","15/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משטרת ישראל","הסדר ניגוד עניינים","סיום טיפול","בלתי מוצדק","08/08/2024","24",
" 353/22","01/06/2022","22/08/2022","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","קביעת תאריך גיוס","סיום טיפול","מוצדק","21/09/2022","30",
" 119/24","09/11/2023","15/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה סמוכין 395069 תאריך 09.11.23 ","סיום טיפול","בלתי מוצדק","15/04/2024","0",
" 425/23","19/07/2023","29/09/2023","טופס מקוון","אזרח","","פרסום הנחיות מנהליות","המשרד להגנת הסביבה","","סיום טיפול","בלתי מוצדק","10/01/2024","103",
" 69/22","16/01/2022","20/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מענה בבקשה לקבלת מידע על פי חוק","סיום טיפול","מוצדק","26/05/2022","95",
" 467/23","11/08/2023","07/11/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אי מתן מענה לבקשה 11.08.23 סמוכין  384552 ","סיום טיפול","בלתי מוצדק","14/12/2023","37",
" 6/22","04/01/2022","04/01/2022","טופס מקוון","אזרח","","פרסום הנחיות מנהליות","משרד התיירות","","סיום טיפול","בלתי מוצדק","10/03/2022","65",
" 297/22","27/05/2022","18/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","קבלת עותק רישיון רט"ן","סיום טיפול","מוצדק","01/08/2022","14",
" 376/24","18/09/2024","03/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","בקשת מידע - עבודת מטה","בטיפול","","","22",
" 220/24","19/02/2024","24/06/2024","טופס מקוון","עמותה","העמותה הקהילתית גבעת מרדכי","אי מתן מענה","משרד הבריאות","פירוט התקשרויות מאושרות למחקר","סיום טיפול","מוצדק","12/08/2024","49",
" 204/22","19/01/2022","10/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","נתוני משפטנים בצה"ל","סיום טיפול","מוצדק","08/06/2022","29",
" 478/22","06/10/2022","12/12/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","בקשה לקבלת מידע בעניין רשימת המדינות כאמור בבקשתנו","סיום טיפול","מוצדק","07/02/2023","57",
" 204/23","23/03/2023","25/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בירור אפלייה ותנאי רפורמת אופק חדש","סיום טיפול","מוצדק","24/07/2023","61",
" 71/23","24/09/2022","28/02/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","הרשות הארצית לכבאות והצלה","שריפות פסולת","סיום טיפול","מוצדק","14/12/2023","290",
" 323/24","08/05/2024","15/09/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","סגירת שלוחת ביה"ח שערי צדק ברח' הנביאים","סיום טיפול","מוצדק","28/10/2024","43",
" 221/24","29/01/2023","25/06/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מסמכים לגבי החיסון מותאם אומיקרון","סיום טיפול","מוצדק","12/08/2024","48",
" 472/23","13/11/2023","13/11/2023","טופס מקוון","אזרח","","אי מתן מענה","המכון הרפואי לבטיחות בדרכים","דוח תאונת עבודה","סיום טיפול","מוצדק","21/12/2023","38",
" 201/22","11/04/2022","09/05/2022","טופס מקוון","אזרח","","אגרות","משרד התחבורה והבטיחות בדרכים"," מידע ממאגר","סיום טיפול","מוצדק","25/07/2022","77",
" 476/22","17/05/2022","11/12/2022","טופס מקוון","אחר","","אי מתן מענה","משרד החינוך","אמיר לנציאנו","סיום טיפול","מוצדק","16/02/2023","67",
" 164/22","19/01/2022","14/04/2022","טופס מקוון","חברה","","אי מתן מענה","משרד הבינוי והשיכון","שימועים בגין עבירות בטיחות – רשם הקבלנים","סיום טיפול","בלתי מוצדק","28/04/2022","14",
" 247/23","06/09/2022","26/06/2023","טופס מקוון","אזרח","","אי מתן מענה","הרבנות הראשית לישראל","העלמת מידע ","סיום טיפול","בלתי מוצדק","31/07/2023","36",
" 8/24","05/09/2023","07/01/2024","טופס מקוון","עמותה","מרכז טאוב לחקר המדיניות החברתית בישראל","חוסר בהנמקה","משרד החינוך","מבחן מחוננים","סיום טיפול","מוצדק","18/01/2024","11",
" 390/24","08/08/2024","10/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","לימודי תרפיה באומנויות","בטיפול","","","15",
" 182/23","29/01/2023","11/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","קבלת העתק מסמך תשובת שר האוצר","סיום טיפול","בלתי מוצדק","13/07/2023","63",
" 18/24","12/01/2024","14/01/2024","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","פסקי דין מאושרים לצו 348","סיום טיפול","מוצדק","07/03/2024","53",
" 255/24","25/03/2024","15/07/2024","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","משרד המשפטים","צו הורות פסיקתי","סיום טיפול","מוצדק","28/08/2024","44",
" 272/23","24/09/2022","14/07/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","המשרד להגנת הסביבה","פעילות המשטרה הירוקה","סיום טיפול","מוצדק","31/08/2023","48",
" 272/24","03/04/2024","21/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","כספים שהוקפאו מהרשות הפלסטינית","סיום טיפול","מוצדק","14/08/2024","25",
" 404/23","20/04/2023","11/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אצוות חיסון פייזר","סיום טיפול","מוצדק","10/01/2024","121",
" 215/22","04/12/2021","18/05/2022","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","פעולות אכיפה בתחום איכות הסביבה","סיום טיפול","מוצדק","01/06/2022","14",
" 161/24","27/09/2023","12/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הוצאות משרד הבריאות על משפיעני רשת","סיום טיפול","מוצדק","01/07/2024","51",
" 70/22","14/12/2021","20/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","עלות חכירת מטוס מסחרי לטיסות","סיום טיפול","מוצדק","26/05/2022","95",
" 166/24","12/02/2023","20/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אופן חישוב השתתפות בדמי אשפוז","סיום טיפול","מוצדק","01/07/2024","42",
" 51/22","09/09/2021","10/02/2022","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","רותם אמפרט","סיום טיפול","מוצדק","26/05/2022","105",
" 411/22","18/09/2022","19/10/2022","טופס מקוון","עמותה","תחרות - התנועה לחירות בתעסוקה","אי מתן מענה","משרד החינוך","פרטים על מורי החטיבות העליונות","סיום טיפול","מוצדק","03/05/2023","196",
" 259/24","13/03/2024","15/07/2024","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","צה"ל","כריתת אשך ללא הסכמה","סיום טיפול","מוצדק","21/08/2024","37",
" 393/22","16/07/2022","20/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הכלכלה","מתן חסויות על ידי משרד הכלכלה ועובדי ציברר ממשרד ה","סיום טיפול","בלתי מוצדק","04/05/2023","226",
" 72/22","22/02/2022","22/02/2022","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד הבריאות","חלופות ניסויים משרד הבריאות","סיום טיפול","מוצדק","12/04/2022","49",
" 31/23","02/12/2022","27/01/2023","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","הנילונה לא מסרה את המסמכים המבוקשים","סיום טיפול","מוצדק","10/07/2023","164",
" 439/22","27/06/2022","20/11/2022","טופס מקוון","אזרח","","חוסר בהנמקה","האפוטרופוס הכללי והכונס הרשמי","חופש מידע","סיום טיפול","בלתי מוצדק","18/05/2023","179",
" 72/23","26/09/2022","28/02/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","חוסר בהנמקה","משרד החקלאות ופיתוח הכפר","שריפות גזם ופסולת חקלאית","סיום טיפול","מוצדק","07/09/2023","192",
" 109/22","16/02/2022","20/03/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משטרת ישראל","דוחו"ת תנועה בצומת ","סיום טיפול","בלתי מוצדק","03/05/2022","44",
" 91/22","06/02/2022","10/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","מעקב תהליכים - שאלון","סיום טיפול","מוצדק","29/03/2022","19",
" 27/23","12/12/2022","22/01/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","בקשה למידע ציבורי- הקצאות מקרקעין","סיום טיפול","מוצדק חלקית","14/12/2023","326",
" 112/22","03/01/2022","22/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","הקצאת מקרקעין","סיום טיפול","מוצדק","27/04/2022","36",
" 367/22","10/05/2022","29/08/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","נתונים על אירועים לבבים בצה"ל בשנים 18-21","סיום טיפול","מוצדק","04/05/2023","248",
" 629/21","30/04/2021","23/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","מידע בנושא מעבר מבחני רשיונות","סיום טיפול","מוצדק","07/02/2022","46",
" 614/21","21/10/2021","17/12/2021","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","מידע בנוגע לפעילות יחידת הפיקוח","סיום טיפול","בלתי מוצדק","09/03/2022","83",
" 369/24","01/01/1900","29/10/2024","טופס מקוון","אזרח","","דין וחשבון שנתי","מתאם פעולות הממשלה בשטחים (מתפ"ש)","","בטיפול","","","27",
" 234/24","07/06/2023","05/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","נתונים אודות תחומים שונים (ריטלין, פסיכיאטריה, נזעי חשמל, פירכוס, אובדנות, אשפוז בכפיה ועוד)","סיום טיפול","בלתי מוצדק","24/09/2024","81",
" 246/23","07/05/2023","25/06/2023","טופס מקוון","אחר","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","אופן הטלת מניעה","סיום טיפול","מוצדק","27/09/2023","94",
" 274/22","15/06/2022","21/06/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד המשפטים","מספר עובדים עם מוגבלות משמעותית ","סיום טיפול","בלתי מוצדק","28/06/2022","8",
" 30/22","14/12/2021","26/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","קבלת מידע על מכללות לתחבורה בצפון","סיום טיפול","מוצדק","13/02/2022","18",
" 217/24","13/05/2024","23/06/2024","טופס מקוון","אזרח","","אי מתן מענה","הרשות להגנת הצרכן ולסחר הוגן","אי קבלת מענה ענייני","סיום טיפול","בלתי מוצדק","10/07/2024","17",
" 139/24","13/08/2023","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 637/21","17/11/2021","27/12/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תגמולים לחברות על תיקופים של הנוסעים","סיום טיפול","מוצדק","27/02/2022","62",
" 60/22","08/01/2022","14/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","פירוט חלוקת תמיכות","סיום טיפול","מוצדק","26/05/2022","101",
" 75/23","25/01/2023","01/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","פרוטוקול וועדה פריטטית","סיום טיפול","מוצדק","03/05/2023","63",
" 346/22","11/02/2021","19/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","בקשה לקבלת תיק חקירה פל"א 19/373477","סיום טיפול","בלתי מוצדק","08/09/2022","20",
" 368/23","30/03/2022","24/08/2023","טופס מקוון","אזרח","","אי מתן מענה","מינהל התכנון","בקשות ותכניות","סיום טיפול","בלתי מוצדק","04/09/2023","11",
" 62/24","18/12/2023","20/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התקשורת","מספר מקוצר כוכבית וארבע ספרות","סיום טיפול","מוצדק","04/03/2024","13",
" 276/23","30/03/2023","18/07/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות שוק ההון, הביטוח והחיסכון","המסלקה הפנסיונית","סיום טיפול","מוצדק","21/09/2023","65",
" 268/23","03/07/2023","10/07/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע על עסקאות ","סיום טיפול","בלתי מוצדק","10/07/2023","0",
" 126/23","28/02/2023","26/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה","סיום טיפול","בלתי מוצדק","10/05/2023","45",
" 61/22","08/01/2022","14/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","פירוט חלוקת תמיכות","סיום טיפול","מוצדק","17/02/2022","3",
" 104/24","07/11/2023","03/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה !במועד! סמוכין 394794 תאריך 07.11.23 ","סיום טיפול","בלתי מוצדק","03/04/2024","0",
" 149/24","12/02/2024","09/05/2024","טופס מקוון","אחר","","אי מתן מענה","משרד המשפטים","כתבי אישום","סיום טיפול","מוצדק","22/05/2024","13",
" 457/22","12/07/2022","28/11/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","תיקון העלון לתרופת פרופסיה","סיום טיפול","מוצדק","10/07/2023","224",
" 376/22","02/08/2022","06/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","וועדת החריגים תמריצים","סיום טיפול","מוצדק","14/09/2022","8",
" 76/23","29/01/2023","02/03/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אי מתן מענה לבקשת מידע  29.01.23 סמוכין 357354 ","סיום טיפול","בלתי מוצדק","14/12/2023","287",
" 248/24","20/02/2024","14/07/2024","טופס מקוון","אחר","","אי מתן מענה","משרד האוצר","נגישות לאנשים עם מוגבלות","סיום טיפול","מוצדק","28/08/2024","45",
" 105/22","23/01/2022","14/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","מחקר תחלואת סרטן עודפת","סיום טיפול","מוצדק","26/05/2022","73",
" 268/24","16/05/2024","17/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","פרוטוקולים ותכוניות בנייה","סיום טיפול","בלתי מוצדק","08/10/2024","84",
" 151/22","07/02/2022","05/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הוספת סטודנטים לרפואה","סיום טיפול","מוצדק חלקית","27/04/2022","22",
" 296/22","03/03/2022","17/07/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי המשפט","הכשרות שופטים בנושא אלימות מינית","סיום טיפול","מוצדק","14/09/2022","59",
" 591/21","20/10/2021","24/11/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","קבלת מידע נוקדות חובה","סיום טיפול","בלתי מוצדק","12/12/2021","18",
" 501/22","12/09/2022","25/12/2022","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","צה"ל","תאורה באסדת הגז לוויתן","סיום טיפול","מוצדק","28/03/2023","93",
" 457/23","04/07/2023","29/10/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מענה לבקשה סמוכין 378524 04.07.23 ","סיום טיפול","בלתי מוצדק","14/12/2023","46",
" 77/24","15/02/2024","06/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","שמאי מכריע","סיום טיפול","בלתי מוצדק","13/03/2024","7",
" 227/24","27/03/2024","01/07/2024","טופס מקוון","אזרח","","אגרות","משרד התחבורה והבטיחות בדרכים","תוכניות עתידיות אוטובוס אקורדיון וקומותיים","סיום טיפול","בלתי מוצדק","08/10/2024","99",
" 50/24","22/01/2024","07/02/2024","טופס מקוון","אזרח","","אי מתן מענה","הרשות לאכיפה במקרקעין - משרד האוצר","מדיע בנוגע להפעלת סמכות מקבילה","סיום טיפול","בלתי מוצדק","27/03/2024","49",
" 308/22","27/06/2022","25/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פניה מתאריך ה- 27.06.2022 - אי מתן מענה","סיום טיפול","בלתי מוצדק","28/07/2022","3",
" 243/24","12/03/2024","09/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","תמהיל דירות פרויקט 1572 בתוכנית מחיר למשתכן ","סיום טיפול","מוצדק","30/07/2024","21",
" 432/22","17/07/2022","15/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אי מתן מתן לקבלת תקנות ","סיום טיפול","מוצדק","20/04/2023","156",
" 393/24","04/10/2024","11/11/2024","טופס מקוון","אזרח","","חוסר בהנמקה","המשרד להגנת הסביבה","חוק הפחמן","בטיפול","","","14",
" 115/22","25/01/2022","22/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פנייה לנציב קבילות הרופאים","סיום טיפול","בלתי מוצדק","09/05/2022","48",
" 132/22","23/02/2022","27/03/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","נתונים על דין משמעתי","סיום טיפול","מוצדק","30/05/2022","64",
" 9/24","05/09/2023","07/01/2024","טופס מקוון","עמותה","מרכז טאוב לחקר המדיניות החברתית בישראל","אי מתן מענה","משרד הבריאות","אשפוז עקב חשיפה לחום","סיום טיפול","מוצדק","13/03/2024","66",
" 16/22","07/11/2021","17/01/2022","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד הביטחון","ניסויים בבעלי חיים במשרד הביטחון","סיום טיפול","מוצדק","21/02/2022","35",
" 300/23","16/07/2023","30/07/2023","טופס מקוון","אזרח","","פרסום הנחיות מנהליות","הרשות הארצית לכבאות והצלה","","סיום טיפול","מוצדק","19/09/2023","52",
" 237/22","13/12/2021","02/06/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","החלטות וועדות, מידע אודות המבקש ומידע סטטיסטי","סיום טיפול","מוצדק","01/08/2022","60",
" 252/23","07/05/2023","28/06/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה לבקשה 07.05.23 סמוכין 370052 ","סיום טיפול","בלתי מוצדק","09/11/2023","134",
" 71/22","26/12/2021","22/02/2022","טופס מקוון","חברה","","אי מתן מענה","משרד העבודה","אמל שבלי","סיום טיפול","מוצדק","26/05/2022","93",
" 245/23","04/04/2023","25/06/2023","טופס מקוון","אחר","","אי מתן מענה","צה"ל","חלוקת מכסות בענף התעשייה והשירותים","סיום טיפול","מוצדק","10/07/2023","15",
" 297/23","20/04/2023","27/07/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","שינוי סיווג מערכי נגדים במהלך חופשת הפסח 2023","סיום טיפול","מוצדק","21/09/2023","56",
" 24/23","06/11/2022","19/01/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","אי מתן מענה על נתונים שנתבקשו בבקשת חופש מידע ","סיום טיפול","מוצדק","19/02/2023","31",
" 440/23","18/09/2022","25/10/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בקשה למידע במסגרת חוק חופש המידע","סיום טיפול","מוצדק","18/01/2024","86",
" 274/24","17/02/2024","24/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תרומות למחקרים קליניים","סיום טיפול","מוצדק","04/09/2024","42",
" 136/24","10/08/2023","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 141/24","19/04/2022","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 418/22","27/10/2022","28/10/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תלונה נגד רכזת האגף במשרד החינוך אילנית שושני","סיום טיפול","מוצדק","30/03/2023","154",
" 101/22","01/01/1900","13/03/2022","טופס מקוון","אזרח","","מידע סביבתי","משרד החינוך","","סיום טיפול","בלתי מוצדק","11/04/2022","29",
" 385/23","01/06/2023","27/08/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","חוזה מול מועדון הלקוחות "יותר"","סיום טיפול","מוצדק","19/03/2024","205",
" 469/23","24/05/2023","12/11/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בקשה לקבלת מידע בעניין ד"ר אשר שלמון","סיום טיפול","מוצדק","22/01/2024","71",
" 113/22","15/02/2022","22/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","ועדת האיתור לתפקיד מנהל לפ"מ","סיום טיפול","מוצדק","27/04/2022","36",
" 279/23","08/03/2022","19/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","כרם שיזף","סיום טיפול","מוצדק","07/03/2024","232",
" 386/22","03/08/2022","20/09/2022","טופס מקוון","חברה","","אי מתן מענה","משרד העבודה","צווים שהוטלו על ידי המפחק סימיון","סיום טיפול","מוצדק","03/05/2023","225",
" 281/22","26/02/2022","28/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הקלטת שיחה אשר ביצעתי עם המשרד","סיום טיפול","מוצדק","11/08/2022","44",
" 22/24","22/11/2023","23/01/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","קביעת שכר דירה","סיום טיפול","בלתי מוצדק","05/02/2024","14",
" 81/24","05/11/2023","08/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ","סיום טיפול","בלתי מוצדק","13/03/2024","5",
" 107/24","28/02/2024","04/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","דוח תיקופים קו 681","סיום טיפול","מוצדק","20/06/2024","77",
" 416/23","30/07/2023","12/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","מסמכי יכולת פיננסית","סיום טיפול","מוצדק","29/02/2024","170",
" 609/21","08/04/2021","12/12/2021","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","היתרי כניסה לישראל לצורכי עבודה ומניעות כניסת תושב","סיום טיפול","מוצדק","26/05/2022","165",
" 182/24","11/03/2024","22/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","שימוש בפיקדון צבאי","סיום טיפול","מוצדק","29/05/2024","8",
" 116/22","29/12/2021","22/03/2022","טופס מקוון","עמותה","פורום דו קיום בנגב לשוויון אזרחי","אי מתן מענה","המשרד לביטחון לאומי","מידע על הריסות בתים, פינויים וחריש בנגב לשנת 2021","סיום טיפול","מוצדק","29/03/2022","7",
" 371/22","02/08/2022","04/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","עיון בתיק אישי - בית הספר שלנו תל מונד","סיום טיפול","מוצדק","18/12/2022","105",
" 423/23","29/01/2023","26/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הביטחון","מענים חלקיים בלבד לשתי בקשות מידע","סיום טיפול","מוצדק חלקית","13/12/2023","78",
" 124/24","07/08/2023","17/04/2024","טופס מקוון","עמותה","האגודה לזכויות האזרח בישראל","אי מתן מענה","משרד המשפטים","פילוח תלונות מח"ש","סיום טיפול","מוצדק","02/05/2024","15",
" 125/24","19/12/2023","17/04/2024","טופס מקוון","עמותה","הפורום לתזונה בת קיימא","אי מתן מענה","משרד הבריאות","השלכות מס הסוכר","סיום טיפול","בלתי מוצדק","18/09/2024","154",
" 60/24","25/01/2024","16/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","סמכות ועדה פריטטית בנושא התמריצים למורים ","סיום טיפול","בלתי מוצדק","02/05/2024","76",
" 198/22","06/01/2022","09/05/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","חכירת רכבים מצה"ל","סיום טיפול","מוצדק","02/08/2022","85",
" 2/23","05/09/2022","01/01/2023","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","מתן מענה לא ענייני וחלקי ביותר","סיום טיפול","בלתי מוצדק","04/01/2023","3",
" 47/23","25/11/2022","08/02/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","קבלת מידע","סיום טיפול","מוצדק","31/05/2023","112",
" 444/22","08/05/2022","23/11/2022","טופס מקוון","עמותה","הפורום לישראל ירוקה","אי מתן מענה","המשרד להגנת הסביבה","מפעלי תעשייה כבידה בישראל","סיום טיפול","מוצדק","24/05/2023","182",
" 314/22","20/06/2022","28/07/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות המסים בישראל","החזר כספים בגין הפקדות כספי מעסיק מקופות שונות","סיום טיפול","בלתי מוצדק","07/08/2022","10",
" 325/24","14/08/2024","16/09/2024","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","תכנית כיבוי אש פרויקט דניה סיבוס","סיום טיפול","מוצדק","10/10/2024","24",
" 463/23","31/05/2023","05/11/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","אי מתן מענה סמוכין 373500 תאריך 31.05.23 ","סיום טיפול","בלתי מוצדק","14/12/2023","39",
" 367/23","16/07/2023","24/08/2023","טופס מקוון","אזרח","","אי מתן מענה","מינהל התכנון","בקשות ותכניות","סיום טיפול","בלתי מוצדק","04/09/2023","11",
" 68/23","18/12/2022","26/02/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","פרסום כתבות נגד משרתי ופורשי צבא הקבע","סיום טיפול","מוצדק","08/06/2023","102",
" 413/22","16/06/2022","23/10/2022","טופס מקוון","עמותה","ניצנים","אי מתן מענה","צה"ל","אי מתן מענה לבקשת מידע ","סיום טיפול","מוצדק","03/05/2023","192",
" 25/23","11/12/2022","19/01/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","אי מתן מענה לבקשת חופש מידע מיום 11.12.22 ","סיום טיפול","מוצדק","15/02/2023","27",
" 7/22","04/01/2022","04/01/2022","טופס מקוון","אזרח","","דין וחשבון שנתי","משרד התיירות","","סיום טיפול","בלתי מוצדק","10/03/2022","65",
